"";"Metro";"Total Jobs.x";"auto10";"auto20";"auto30";"auto40";"auto50";"auto60";"Total Jobs.y";"bike10";"bike20";"bike30";"bike40";"bike50";"bike60";"Total Jobs";"transit10";"transit20";"transit30";"transit40";"transit50";"transit60"
"41";"Salt Lake City";716561;83595;419677;684399;910142;1061572;1119352;716561;4715;21312;44560;71210;100865;131832;716561;503;4007;15399;40587;84604;150262
"42";"San Antonio";979988;50099;301711;585172;774898;899837;987194;979988;2052;7843;15118;23575;31898;40418;979988;334;2370;9487;24935;51119;89551
"43";"San Diego";1403191;55533;306625;637936;928528;1224200;1534269;1403191;4209;13864;25840;39030;52561;65074;1403191;664;3729;11956;30248;62849;111817
"44";"San Francisco";2400290;71448;287801;651253;1167143;1786229;2460882;2400290;22354;77640;133547;186894;227010;248841;2400290;2733;25482;78599;163338;278930;418615
"45";"San Jose";1077279;79839;442549;831681;1223992;1674326;2222606;1077279;6704;29042;61295;101533;151249;205991;1077279;680;5305;19739;52924;114155;206967
"46";"Seattle";1919635;51792;238503;548802;863561;1170946;1445102;1919635;10513;33905;60671;95075;134073;172847;1919635;1614;10273;30346;67906;119508;183588
"47";"St. Louis";1363165;43481;264709;608035;916197;1119824;1247304;1363165;2437;9262;19078;28836;37590;45046;1363165;338;2057;7350;18864;37867;64475
"48";"Tampa";1307910;40825;188708;427946;767245;1098359;1385646;1307910;2801;13219;29328;49062;69475;89235;1307910;358;2137;7182;17390;34322;58362
"49";"Virginia Beach";711408;36116;186823;344400;480745;585212;672289;711408;1932;5328;7555;8738;9580;10057;711408;285;1485;4622;10510;19930;33191
"50";"Washington";2830896;43170;226747;564270;1062673;1699171;2392428;2830896;7572;29448;57526;88105;121135;159515;2830896;1161;9547;36260;88588;172260;278591
"51";"Total";83284301;2432492;13226517;29268526;46314730;62906916;78769460;83284301;249783;975700;1946788;3092051;4359103;5687980;83284301;36065;277632;951735;2225360;4180510;6755718
