YEAR,STATE,ELSED_GF,ELSED_FF,ELSED_OF,ELSED_BF,ELSED_TOT,HGRED_GF,HGRED_FF,HGRED_OF,HGRED_BF,HGRED_TOT,TANF_GF,TANF_FF,TANF_OF,TANF_BF,TANF_TOT,OTCA_GF,OTCA_FF,OTCA_OF,OTCA_BF,OTCA_TOT,MCAID_GF,MCAID_FF,MCAID_OF,MCAID_BF,MCAID_TOT,CORR_GF,CORR_FF,CORR_OF,CORR_BF,CORR_TOT,TRANS_GF,TRANS_FF,TRANS_OF,TRANS_BF,TRANS_TOT,OTHER_GF,OTHER_FF,OTHER_OF,OTHER_BF,OTHER_TOT,ELCAP GF,ELCAP FF,ELCAP OF,ELCAP BF,ELCAP TOT,HEDCP_GF,HEDCP_FF,HEDCP_OF,HEDCP_BF,HEDCP_TOT,CORCP_GF,CORCP_FF,CORCP_OF,CORCP_BF,CORCP_TOT,TRCAP_GF,TRCAP_FF,TRCAP_OF,TRCAP_BF,TRCAP_TOT,HSCAP_GF,HSCAP_FF,HSCAP_OF,HSCAP_BF,HSCAP_TOT,ENVCP_GF,ENVCP_FF,ENVCP_OF,ENVCP_BF,ENVCP_TOT,OTHCP_GF,OTHCP_FF,OTHCP_OF,OTHCP_BF,OTHCP_TOT,GFTOT_CAPI,FFTOT_CAPI,OFTOT_CAPI,BFTOT_CAPI,TOTAL_CAPI,GFTOT_CAP,FFTOT_CAP,OFTOT_CAP,BFTOT_CAP,TOTAL_CAP,SALES,PIT,CIT,GAMING,OTHER,TOTAL REV,TANF FF,TANF OF,TANF BF,TANF TOT,,,,,,,,,,
1991,Hawaii,652.0,68.8,17.5,0.0,738.3,309.6,2.5,67.4,0.0,379.5,42.0,54.0,0.0,0.0,96.0,35.0,1.0,0.0,0.0,36.0,142.0,122.0,0.0,0.0,264.0,80.6,0.7,2.0,0.0,83.3,36.8,199.6,454.5,322.6,1013.5,1511.6,156.9,435.2,251.3,2355.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,198.0,30.3,322.6,586.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.2,1.9,55.9,251.3,500.3,2809.6,605.5,976.6,573.9,4965.6,226.4,199.9,86.2,573.9,1086.4,,,,,,,,,,,,,,,,,,,,
1991,Idaho,460.5,64.6,38.3,0.0,563.4,167.3,0.6,61.6,0.5,230.0,5.1,9.8,7.4,0.0,22.3,5.6,0.0,0.0,0.0,5.6,47.9,149.4,6.0,0.0,203.3,42.5,3.4,14.9,3.0,63.8,0.0,105.8,113.9,0.0,219.7,188.4,269.1,209.4,2.8,669.7,,,,,0.0,0.0,0.0,21.1,0.5,21.6,0.0,0.0,5.7,2.8,8.5,0.0,89.7,23.1,0.0,112.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2.8,15.1,917.3,602.7,451.5,6.3,1977.8,0.0,89.7,62.2,6.1,158.0,,,,,,,,,,,,,,,,,,,,
1991,Illinois,3224.0,624.0,23.0,7.0,3878.0,1570.0,7.0,453.0,61.0,2091.0,440.0,423.0,0.0,0.0,863.0,252.0,22.0,0.0,0.0,274.0,1493.0,1278.0,0.0,0.0,2771.0,543.0,0.0,30.0,90.0,663.0,48.0,109.0,2099.0,339.0,2595.0,2870.0,1370.0,2831.0,239.0,7310.0,,,,,0.0,4.0,0.0,7.0,67.0,78.0,2.0,0.0,0.0,90.0,92.0,0.0,0.0,1028.0,339.0,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,101.0,116.0,9.0,0.0,19.0,139.0,167.0,10440.0,3833.0,5436.0,736.0,20445.0,15.0,0.0,1069.0,736.0,1820.0,,,,,,,,,,,,,,,,,,,,
1991,Indiana,2471.3,225.9,19.3,0.0,2716.5,945.9,38.9,10.6,38.7,1034.1,40.9,118.8,0.0,0.0,159.7,0.0,0.0,0.0,0.0,0.0,658.8,1060.9,4.2,0.0,1723.9,254.4,0.0,34.5,21.3,310.2,1.5,272.3,730.7,59.4,1063.9,1575.5,866.5,367.8,0.0,2809.8,,,,,0.0,11.4,0.0,0.0,38.7,50.1,6.0,0.0,34.5,21.3,61.8,1.5,207.3,514.3,59.4,782.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,14.8,65.2,0.0,34.5,0.0,99.7,5948.3,2583.3,1167.1,119.4,9818.1,84.1,207.3,598.1,119.4,1008.9,,,,,,,,,,,,,,,,,,,,
1991,Iowa,1195.1,163.6,12.0,0.0,1370.7,641.8,191.3,1024.4,0.0,1857.5,44.7,84.9,35.1,0.0,164.7,18.0,0.0,0.0,0.0,18.0,233.5,468.2,57.3,0.0,759.0,109.1,0.1,19.2,0.0,128.4,0.0,189.8,590.2,0.0,780.0,902.0,323.9,1033.5,0.0,2259.4,,,,,0.0,0.9,0.0,1.9,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,0.0,1.0,0.0,1.0,3144.2,1421.8,2771.7,0.0,7337.7,0.9,0.0,8.2,0.0,9.1,,,,,,,,,,,,,,,,,,,,
1991,Kansas,966.9,134.0,85.7,0.0,1186.6,468.8,106.6,446.6,8.5,1030.5,45.6,59.3,0.0,0.0,104.9,12.5,15.3,1.4,0.0,29.2,201.8,260.6,23.1,0.0,485.5,136.2,0.2,13.9,0.0,150.3,83.4,165.7,335.0,21.6,605.7,580.2,248.1,661.2,0.0,1489.5,,,,,0.0,1.7,0.9,22.6,8.5,33.7,4.0,0.0,4.7,0.0,8.7,74.4,160.3,64.2,0.0,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.4,10.7,0.0,15.2,2495.4,989.8,1566.9,30.1,5082.2,83.2,162.6,102.2,8.5,356.5,,,,,,,,,,,,,,,,,,,,
1991,Kentucky,2024.3,299.4,31.6,0.0,2355.3,654.5,1.4,621.5,0.0,1277.4,47.3,133.1,2.3,0.0,182.7,20.9,36.1,19.8,0.0,76.8,310.1,992.1,141.3,0.0,1443.5,160.5,0.6,10.9,0.0,172.0,3.2,184.9,842.8,0.0,1030.9,961.8,480.2,754.0,0.0,2196.0,,,,,0.0,0.0,0.0,76.0,0.0,76.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,94.0,0.0,94.0,4182.6,2127.8,2424.2,0.0,8734.6,0.0,0.0,209.0,0.0,209.0,,,,,,,,,,,,,,,,,,,,
1991,Louisiana,1797.3,343.4,88.5,0.0,2229.2,581.0,63.9,401.9,29.5,1076.3,48.4,138.5,0.0,0.0,186.9,0.0,0.0,0.0,0.0,0.0,367.1,1360.1,79.1,0.0,1806.3,250.6,0.3,8.1,0.5,259.5,20.5,301.5,405.1,66.1,793.2,1394.3,972.7,1351.5,102.8,3821.3,,,,,0.0,0.0,3.8,4.6,29.5,37.9,0.0,0.0,0.1,0.5,0.6,10.3,295.8,176.0,66.1,548.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.1,6.9,102.8,115.0,4459.2,3180.4,2334.2,198.9,10172.7,10.5,304.7,187.6,198.9,701.7,,,,,,,,,,,,,,,,,,,,
1991,Maine,580.0,62.5,0.4,0.4,643.3,164.1,5.6,0.2,12.4,182.3,41.4,66.9,37.5,0.0,145.8,47.1,8.2,0.0,0.0,55.3,169.0,314.7,2.2,0.0,485.9,60.7,1.7,0.4,5.9,68.7,3.8,72.7,197.0,13.0,286.5,484.9,195.0,171.9,49.2,901.0,,,,,0.0,0.0,0.0,0.0,12.4,12.4,2.9,0.5,4.9,5.9,14.2,0.5,49.0,31.6,7.4,88.5,0.5,0.0,0.0,0.0,0.5,0.1,0.1,0.8,0.0,1.0,7.4,2.5,5.7,3.1,18.7,1551.0,727.3,409.6,80.9,2768.8,11.4,52.1,43.0,28.8,135.3,,,,,,,,,,,,,,,,,,,,
1991,Maryland,1812.0,219.0,17.0,86.1,2134.1,814.7,195.1,684.9,86.0,1780.7,140.6,143.3,36.0,0.0,319.9,64.0,4.0,3.0,0.0,71.0,700.1,613.1,10.2,0.0,1323.4,312.0,0.0,24.0,53.6,389.6,0.0,415.8,1596.3,326.6,2338.7,2360.0,593.0,548.0,411.1,3912.1,,,,,0.0,0.0,0.0,8.3,86.1,94.4,12.3,0.0,15.0,53.6,80.9,0.0,312.3,547.4,326.6,1186.3,17.7,0.0,28.7,0.0,46.4,7.5,79.6,0.0,0.0,87.1,50.7,5.2,59.9,243.4,359.2,6203.4,2183.3,2919.4,963.4,12269.5,88.2,397.1,659.3,709.7,1854.3,,,,,,,,,,,,,,,,,,,,
