atliabilities_gasb
atassets_smooth
atostmethode
atostmethode_gasb
atostmeth_gasb
atostmeth
atostmeth_note
atfundedratio_gasb
atliabilities_ean
atliabilities_pu
atrpt_y
atrptdate
atassets_ava
atassets_gasb
ade
perentade
requiredontribution
perentreqontpaid
inome_alternatives
soseovered
addsubtratgainloss
assetvalmethode_gasb
assetvalmethode
servieretage_avg
ativeage_avg
benefiiaryage_avg
servieretireeage_avg
servieretbenefit_avg
benefiiarybenefit_avg
servieretireebenefit_avg
ativesalary_avg
servierettenure_avg
ativetenure_avg
benefits_servieretirees
blendeddisountrate
afr_y
ashandshortterm
planlosed
expense_olabenefits
ola_ode
ola_verabatim
afr_av_onflit
ostsharing
oststruture
overedpayroll_gasb67
eletedoffiials
oversloalemployees
loalfire
loalgenee
loalpolie
oversstateemployees
statefire
stategenee
statepolie
oversteahers
dataentryode
soure_atosts
soure_gasbshedules
soure_inomestatement
soure_investmentreturn
soure_membership
soure_planbasis
expense_depreiation
inome_dividends
fixedinome_domesti
equities_domesti
ontrib_ee_regular
normostamount_ee
normostrate_ee
normostrate_ee_est
ontrib_er_other
ontrib_er_regular
ontrib_er_state
normostamount_er
normostrate_er
normostrate_er_est
reqontamount_er
reqontrate_er
atassets_est
atfundedratio_est
atliabilities_est
reqontrate_er_est
expetedreturnmethod
fairvaluehange_investments
ontributionfy
fisalyeartype
fundingmethode1_gasb
fundmethode_1
fundingmethode2_gasb
fundmethode_2
gainlossonept
gainlossreognition
judgesattorneys
inome_interestanddividends
inome_interest
fixedinome_international
inome_international
loalemployers
investmentreturn_longtermstartye
lowerorridor
expense_selendmgmtfees
atfundedratio_gasb67
noav
noafr
atliabilities_other
inome_otheradditions
ontrib_other
expense_otherdedutions
ontrib_ee_other
inome_otherinvestments
phaseinperent
plan_annual_id
planleveldata
plan_id
pvfb_ative
pvfb_inativenonvested
pvfb_inativevested
pvfn_ee
pvfn_er
pvfn_tot
inome_privateequity
projetedpayroll
inome_realestate
reportingdatenotes
shoolees
shoolemployers
expense_seuritieslending
inome_seuritieslending
inome_seuritieslendingrebate
ontrib_ee_purhaseservie
soseovered_verbatim
soure_atliabilities
soure_assetalloation
soure_fundingandmethods
soure_gasbassumptions
stateemployers
teaher
atives_tot
inome_net
ativesalaries
ontrib_tot
fixedinome_tot
normostamount_tot
normostrate_tot
normostrate_tot_est
benefiiaries_tot
benefiiaries_dependentsurvivors
benefiiaries_disabilityretirees
inativenonvested
inativevestedmembers
benefiiaries_other
benefiiaries_servieretirees
benefiiaries_spousalsurvivors
benefiiaries_survivors
reqontamount_tot
reqontrate_tot
employeetypeovered
upperorridor
valuationid
year
planineptionyear
planyearlosed
atvaldate_atuarialosts
atvaldate_gasbshedules
