plan,plan2,state,fye,2021_return,arr,mva_billions,mva_billions_20,source
Alabama Employees' Retirement System (ERS),Alabama Employees' Retirement System (ERS),Alabama,30-Sep-20,,0.077,,13.150538,
Alabama Teachers' Retirement System (TRS),Alabama Teachers' Retirement System (TRS),Alabama,30-Sep-20,,0.077,,25.946389,
Alaska Public Employees Retirement System (PERS)*,Alaska Public Employees Retirement System,Alaska,30-Jun-20,0.2762,0.074,24.24678909,19.15255154,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.21.pdf
Alaska Teachers Retirement System (TRS)*,Alaska Teachers Retirement System,Alaska,30-Jun-20,0.2762,0.074,11.36748563,9.345,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.21.pdf
Arizona Corrections Officers Retirement Plan (CORP)*,Arizona Corrections Officers Retirement Plan,Arizona,30-Jun-20,0.278,0.073,3.4,2.070559462,https://www.psprs.com/uploads/sites/1/4551_Oct2021_PSPRS_ValuationResults_FINAL_P.pdf
Arizona Public Safety Personnel Retirement System (PSPRS)*,Arizona Public Safety Personnel Retirement System,Arizona,30-Jun-20,0.278,0.073,11.8,10.7,https://www.psprs.com/uploads/sites/1/4551_Oct2021_PSPRS_ValuationResults_FINAL_P.pdf
Arizona State Retirement System (ASRS),Arizona State Retirement System,Arizona,30-Jun-20,,0.075,,42.192,
Arkansas Public Employees Retirement System (APERS)***,Arkansas Public Employees Retirement System,Arkansas,30-Jun-20,0.315,0.075,11.6,9,https://www.pionline.com/pension-funds/arkansas-public-employees-returns-315-fiscal-year
Arkansas Teachers Retirement Plan (ATRS),Arkansas Teachers Retirement Plan,Arkansas,30-Jun-20,0.319,0.075,21,16.665,https://www.arkansasonline.com/news/2021/oct/03/arkansas-teacher-retirement-system-investments/
California State Teachers Retirement System (CalSTRS),California State Teachers Retirement System,California,30-Jun-20,0.272,0.07,308.6,246,https://www.arkansasonline.com/news/2021/oct/03/arkansas-teacher-retirement-system-investments/
CalPERS - California Public Employees Retirement Fund (CalPERS)**,CalPERS - California Public Employees Retirement Fund,California,30-Jun-20,0.213,0.07,469,392.452541,https://www.calpers.ca.gov/page/newsroom/calpers-news/2021/calpers-strong-preliminary-fiscal-year-investment-return-trigger-discount-rate-reduction
"Colorado PERA, Local Division Fund*","Colorado PERA, Local Division Fund",Colorado,31-Dec-20,,0.0725,,5.194637544,
"Colorado PERA, School Division Fund (PERA)*","Colorado PERA, School Division Fund",Colorado,31-Dec-20,,0.0725,,30.6741848,
"Colorado PERA, State Division Fund (PERA)*","Colorado PERA, State Division Fund",Colorado,31-Dec-20,,0.0725,,17.87994676,
Connecticut Municipal Employees Retirement Plan,Connecticut Municipal Employees Retirement Plan,Connecticut,30-Jun-20,,0.07,,2.734354911,
Connecticut State Employees Retirement System (SERS),Connecticut State Employees Retirement System,Connecticut,30-Jun-20,,0.069,,13.31110993,
